mF,M
0.5746956163600837,4121203.923751623
0.6100020837953102,3999283.863535786
0.6474689997925552,3880970.6401095395
0.6872277552045492,3766157.5502356226
0.729417664471507,3654741.047515832
0.7741864222303455,3546620.648731537
0.8216906025201673,3441698.843266143
0.872096196599046,3339881.005379817
0.9255791544037812,3241075.3086191746
0.9823259746813516,3145192.643036774
1.0425343407050032,3052146.5350295864
1.1064137614500318,2961853.069122459
1.174186268453946,2874230.8123139073
1.24608716638591,2789200.7408255823
1.3223657913531492,2706686.1686248453
1.4032863328787373,2626612.678283026
1.48912871803021,2548908.054040269
1.5801895079643813,2473502.216486421
1.6767828660025,2400327.1593715376
1.7792415983156358,2329316.8884410877
1.8879182109613462,2260407.3617451293
2.003186048599918,2193536.4318883545
2.12544051618872,2128643.7901384416
2.2551003250392108,2065670.9118783425
2.3926088299633603,2004561.003827966
2.538435460462071,1945258.9529705814
2.693077186434188,1887711.2767056588
2.8570600852182735,1831866.074613969
3.03094101626067,1777672.9817868054
3.215309340145792,1725083.1232742155
3.410788752322401,1674049.0700026203
3.6180392333521922,1624524.7961274283
3.8377590660944847,1576465.6374064877
4.0706869753353105,1529828.2509128079
4.317604398385666,1484570.5760627165
4.579337838375613,1440651.7965776015
4.856761355776012,1398032.3036649255
5.150799200209067,1356673.6604062915
5.462428555309025,1316538.5669965008
5.792682432662905,1277590.8270942152
6.14265270802193,1239795.315280698
6.513493314691713,1203117.9452944263
6.906423591133123,1167525.6392799255
7.322731784186537,1132986.298046991
7.763778737056041,1099468.7720478214
8.231001754173041,1066942.8332711423
8.725918603361077,1035379.1480741741
9.250131785772869,1004749.2506517129
9.805332970347324,975025.5173567899
10.393307586291503,946181.141847153
11.015939696941487,918190.1108696628
11.675217052745477,891027.180806954
12.37323634942534,864667.8549377696
13.112208786560856,839088.3613081889
13.894465770294834,814265.6313211132
14.722464910658578,790177.2789329744
15.598796318437289,766801.5804408988
16.52618900933005,744117.4549293513
17.507517720088952,722104.4452367155
18.54580993733706,700742.6995036106
19.644253082777134,680012.9532991865
20.80620219552644,659896.5122197301
22.03518769090351,640375.2350443852
23.33492341040073,621431.5173873506
24.709315164875843,603048.2757987233
26.16246922826576,585208.9323847388
27.69870133372181,567897.399850818
29.322545978743694,551098.0669842282
31.038765617380758,534795.7846051863
32.85236065984651,518975.8518851978
34.76857943149771,503624.003094743
36.79292825445432,488726.3947526104
38.93118209888157,474269.5931318699
41.189395103550254,460240.56215963943
43.573911590747606,446626.6516558706
46.091377068678135,433415.5859311291
48.74874940012678,420595.4527230176
51.55331035731086,408154.6924492263
54.51267683502055,396082.08779641724
57.634812603624354,384366.75359915895
